Number of nodes 838 
   279 :  2.4957188e-02 -1.6039011e-02 
   280 :  2.3319575e-02 -1.8338717e-02 
   281 :  2.1470776e-02 -2.0472344e-02 
   282 :  1.9427535e-02 -2.2420571e-02 
   283 :  1.7208355e-02 -2.4165753e-02 
   284 :  3.0000000e-03  5.1961524e-03 
   285 :  2.7092552e-02  1.0343771e-02 
   286 :  2.5886562e-02  1.3072333e-02 
   287 :  2.4406641e-02  1.5662563e-02 
   288 :  2.2668448e-02  1.8087052e-02 
   289 :  1.8774202e-02  2.2102700e-02 
   290 :  1.6705126e-02  2.3705248e-02 
   291 :  1.4500000e-02  2.5114737e-02 
   292 :  1.2176784e-02  2.6319687e-02 
   293 :  9.7543987e-03  2.7310286e-02 
   294 :  4.3296220e-03  2.8674979e-02 
   295 :  1.3608569e-03  2.8968053e-02 
   296 : -1.6223085e-03  2.8954587e-02 
   297 : -4.5883075e-03  2.8634724e-02 
   298 :  2.7453241e-02  1.0332668e-02 
   299 :  2.6308267e-02  1.2973801e-02 
   300 :  2.4909931e-02  1.5489990e-02 
   301 :  2.3271698e-02  1.7857002e-02 
   302 :  2.1409346e-02  2.0052041e-02 
   303 :  1.9340810e-02  2.2053968e-02 
   304 :  1.7086012e-02  2.3843503e-02 
   305 :  1.4666667e-02  2.5403412e-02 
   306 :  1.2106073e-02  2.6718672e-02 
   307 :  9.4288910e-03  2.7776618e-02 
   308 :  6.6609039e-03  2.8567058e-02 
   309 :  3.8287684e-03  2.9082383e-02 
   310 :  9.5975934e-04  2.9317628e-02 
   311 : -1.9184914e-03  2.9270529e-02 
   312 : -4.7782675e-03  2.8941538e-02 
   313 :  2.2917924e-02  6.1408392e-03 
   314 :  2.5763007e-02  6.9031769e-03 
   315 :  1.7878671e-02  1.5572136e-02 
   316 :  1.9455054e-02  1.8234105e-02 
   317 :  4.5465299e-03  2.3269451e-02 
   318 :  6.0636711e-03  2.5965623e-02 
   319 : -6.1408392e-03  2.2917924e-02 
   320 : -6.9031769e-03  2.5763007e-02 
   321 : -5.1961524e-03  3.0000000e-03 
   322 : -1.5572136e-02  1.7878671e-02 
   323 : -1.8234105e-02  1.9455054e-02 
   324 : -2.2102700e-02  1.8774202e-02 
   325 : -2.3705248e-02  1.6705126e-02 
   326 : -2.5114737e-02  1.4500000e-02 
   327 : -2.6319687e-02  1.2176784e-02 
   328 : -2.7310286e-02  9.7543987e-03 
   329 : -2.5965623e-02  6.0636711e-03 
   330 : -2.3269451e-02  4.5465299e-03 
   331 : -1.0343771e-02  2.7092552e-02 
   332 : -1.3072333e-02  2.5886562e-02 
   333 : -1.5662563e-02  2.4406641e-02 
   334 : -1.8087052e-02  2.2668448e-02 
   335 : -2.5763007e-02 -6.9031769e-03 
   336 : -2.2917924e-02 -6.1408392e-03 
   337 : -2.8674979e-02  4.3296220e-03 
   338 : -2.8968053e-02  1.3608569e-03 
   339 : -2.8954587e-02 -1.6223085e-03 
   340 : -2.8634724e-02 -4.5883075e-03 
   341 : -1.0332668e-02  2.7453241e-02 
   342 : -1.2973801e-02  2.6308267e-02 
   343 : -1.5489990e-02  2.4909931e-02 
   344 : -1.7857002e-02  2.3271698e-02 
   345 : -2.0052041e-02  2.1409346e-02 
   346 : -2.2053968e-02  1.9340810e-02 
   347 : -2.3843503e-02  1.7086012e-02 
   348 : -2.5403412e-02  1.4666667e-02 
   349 : -2.6718672e-02  1.2106073e-02 
   350 : -2.7776618e-02  9.4288910e-03 
   351 : -2.8567058e-02  6.6609039e-03 
   352 : -2.9082383e-02  3.8287684e-03 
   353 : -2.9317628e-02  9.5975934e-04 
   354 : -2.9270529e-02 -1.9184914e-03 
   355 : -2.8941538e-02 -4.7782675e-03 
   356 : -3.0000000e-03 -5.1961524e-03 
   357 : -1.7878671e-02 -1.5572136e-02 
   358 : -1.9455054e-02 -1.8234105e-02 
   359 : -1.8774202e-02 -2.2102700e-02 
   360 : -1.6705126e-02 -2.3705248e-02 
   361 : -1.4500000e-02 -2.5114737e-02 
   362 : -1.2176784e-02 -2.6319687e-02 
   363 : -9.7543987e-03 -2.7310286e-02 
   364 : -6.0636711e-03 -2.5965623e-02 
   365 : -4.5465299e-03 -2.3269451e-02 
   366 : -2.7092552e-02 -1.0343771e-02 
   367 : -2.5886562e-02 -1.3072333e-02 
   368 : -2.4406641e-02 -1.5662563e-02 
   369 : -2.2668448e-02 -1.8087052e-02 
   370 :  6.9031769e-03 -2.5763007e-02 
   371 :  6.1408392e-03 -2.2917924e-02 
